"Date","Price","Open","High","Low","Vol.","Change %"
"May 20, 2009","3,054.06","3,002.89","3,067.27","3,000.24","-","1.50%"
"May 19, 2009","3,008.96","2,956.72","3,036.93","2,956.72","-","2.25%"
"May 18, 2009","2,942.75","2,851.88","2,946.67","2,823.09","-","2.36%"
"May 15, 2009","2,874.77","2,886.17","2,898.16","2,843.13","-","-0.03%"
"May 14, 2009","2,875.55","2,868.28","2,879.31","2,823.02","-","0.14%"
"May 13, 2009","2,871.41","2,955.01","2,965.05","2,863.10","-","-2.86%"
"May 12, 2009","2,955.82","2,945.84","3,000.27","2,936.34","-","-0.28%"
"May 11, 2009","2,964.24","2,988.83","2,995.23","2,943.17","-","-0.97%"
"May 08, 2009","2,993.21","2,955.67","3,024.86","2,953.06","-","2.23%"
"May 07, 2009","2,927.88","2,985.09","3,035.05","2,920.45","-","-2.18%"
"May 06, 2009","2,993.24","2,974.44","3,033.08","2,961.28","-","0.55%"
"May 05, 2009","2,976.72","3,004.58","3,023.01","2,970.94","-","-1.03%"
"May 04, 2009","3,007.85","2,939.26","3,011.75","2,934.28","-","1.78%"
"Apr 30, 2009","2,955.33","2,933.50","2,997.52","2,919.28","-","0.98%"
"Apr 29, 2009","2,926.76","2,872.45","2,937.71","2,869.00","-","2.09%"
"Apr 28, 2009","2,866.73","2,899.95","2,900.77","2,829.85","-","-1.86%"
"Apr 27, 2009","2,921.09","2,877.94","2,932.77","2,844.60","-","0.36%"
"Apr 24, 2009","2,910.63","2,829.63","2,910.88","2,828.24","-","2.98%"
"Apr 23, 2009","2,826.48","2,843.19","2,870.67","2,817.92","-","-1.91%"
"Apr 22, 2009","2,881.47","2,827.91","2,881.76","2,794.95","-","1.93%"
"Apr 21, 2009","2,826.91","2,818.81","2,852.93","2,757.29","-","0.32%"
"Apr 20, 2009","2,818.00","2,924.32","2,931.73","2,808.33","-","-4.07%"
"Apr 17, 2009","2,937.48","2,903.34","2,940.02","2,883.54","-","1.46%"
"Apr 16, 2009","2,895.31","2,870.79","2,917.47","2,846.69","-","1.31%"
"Apr 15, 2009","2,857.90","2,844.08","2,863.86","2,819.31","-","-0.16%"
"Apr 14, 2009","2,862.45","2,819.75","2,879.35","2,802.53","-","1.47%"
"Apr 09, 2009","2,821.07","2,761.90","2,833.40","2,750.00","-","2.92%"
"Apr 08, 2009","2,740.90","2,695.94","2,753.12","2,659.77","-","0.82%"
"Apr 07, 2009","2,718.62","2,741.71","2,754.36","2,689.57","-","-0.63%"
"Apr 06, 2009","2,735.79","2,781.02","2,803.29","2,708.54","-","-0.88%"
"Apr 03, 2009","2,759.95","2,740.11","2,804.83","2,728.55","-","0.07%"
"Apr 02, 2009","2,758.02","2,626.91","2,772.30","2,626.58","-","6.07%"
"Apr 01, 2009","2,600.13","2,564.71","2,611.20","2,516.03","-","1.13%"
"Mar 31, 2009","2,570.99","2,522.46","2,575.33","2,522.18","-","2.40%"
"Mar 30, 2009","2,510.85","2,628.04","2,628.06","2,509.70","-","-5.10%"
"Mar 27, 2009","2,645.75","2,676.16","2,688.91","2,615.53","-","-1.31%"
"Mar 26, 2009","2,680.88","2,660.49","2,683.14","2,650.42","-","0.85%"
"Mar 25, 2009","2,658.17","2,627.99","2,682.68","2,605.50","-","0.86%"
"Mar 24, 2009","2,635.56","2,644.45","2,668.53","2,612.65","-","0.26%"
"Mar 23, 2009","2,628.64","2,586.42","2,633.93","2,582.05","-","2.65%"
"Mar 20, 2009","2,560.90","2,521.88","2,569.10","2,514.59","-","0.62%"
"Mar 19, 2009","2,545.02","2,525.91","2,604.30","2,518.91","-","1.19%"
"Mar 18, 2009","2,515.01","2,532.32","2,559.12","2,485.02","-","0.22%"
"Mar 17, 2009","2,509.46","2,543.00","2,546.44","2,484.16","-","-1.41%"
"Mar 16, 2009","2,545.29","2,511.26","2,556.83","2,506.80","-","2.30%"
"Mar 13, 2009","2,488.03","2,509.40","2,550.97","2,477.48","-","-0.06%"
"Mar 12, 2009","2,489.48","2,448.10","2,498.94","2,392.77","-","1.07%"
"Mar 11, 2009","2,463.09","2,433.34","2,513.86","2,409.68","-","0.70%"
"Mar 10, 2009","2,446.08","2,339.00","2,459.39","2,316.78","-","5.27%"
"Mar 09, 2009","2,323.69","2,314.40","2,332.63","2,258.88","-","0.69%"
"Mar 06, 2009","2,307.66","2,328.32","2,372.17","2,289.76","-","-0.79%"
"Mar 05, 2009","2,325.93","2,431.99","2,431.99","2,325.93","-","-5.03%"
"Mar 04, 2009","2,449.03","2,344.39","2,449.51","2,342.63","-","5.42%"
"Mar 03, 2009","2,323.11","2,344.37","2,364.11","2,308.67","-","-0.52%"
"Mar 02, 2009","2,335.28","2,402.80","2,405.63","2,324.39","-","-3.47%"
"Feb 27, 2009","2,419.31","2,459.66","2,459.66","2,369.68","-","-2.50%"
"Feb 26, 2009","2,481.47","2,443.88","2,511.00","2,423.06","-","2.50%"
"Feb 25, 2009","2,420.83","2,478.58","2,503.35","2,385.91","-","-1.27%"
"Feb 24, 2009","2,452.04","2,468.66","2,475.21","2,402.63","-","-1.03%"
"Feb 23, 2009","2,477.68","2,553.52","2,587.67","2,462.71","-","-1.95%"
"Feb 20, 2009","2,526.85","2,621.02","2,622.63","2,526.85","-","-4.75%"
"Feb 19, 2009","2,652.84","2,651.19","2,690.46","2,636.36","-","0.25%"
"Feb 18, 2009","2,646.32","2,661.78","2,678.10","2,595.57","-","-0.28%"
"Feb 17, 2009","2,653.70","2,724.76","2,724.98","2,640.27","-","-3.44%"
"Feb 16, 2009","2,748.15","2,760.69","2,782.76","2,743.50","-","-1.06%"
"Feb 13, 2009","2,777.60","2,806.21","2,837.53","2,767.65","-","0.13%"
"Feb 12, 2009","2,773.99","2,843.83","2,843.83","2,751.32","-","-2.70%"
"Feb 11, 2009","2,851.02","2,826.97","2,856.74","2,810.75","-","0.54%"
"Feb 10, 2009","2,835.76","2,918.15","2,926.07","2,835.76","-","-3.45%"
"Feb 09, 2009","2,937.03","2,912.33","2,950.72","2,893.02","-","0.48%"
"Feb 06, 2009","2,922.90","2,847.86","2,930.70","2,836.09","-","2.96%"
"Feb 05, 2009","2,838.88","2,797.23","2,844.57","2,761.79","-","0.39%"
"Feb 04, 2009","2,827.92","2,762.44","2,861.13","2,752.20","-","2.68%"
"Feb 03, 2009","2,754.16","2,708.35","2,760.72","2,659.50","-","2.44%"
"Feb 02, 2009","2,688.58","2,712.52","2,712.53","2,642.73","-","-1.55%"
"Jan 30, 2009","2,730.97","2,782.37","2,803.96","2,714.52","-","-2.02%"
"Jan 29, 2009","2,787.28","2,829.93","2,833.63","2,765.98","-","-2.01%"
"Jan 28, 2009","2,844.40","2,737.06","2,853.77","2,737.06","-","4.16%"
"Jan 27, 2009","2,730.71","2,730.43","2,754.35","2,693.80","-","-0.08%"
"Jan 26, 2009","2,732.91","2,631.09","2,761.08","2,618.00","-","3.42%"
"Jan 23, 2009","2,642.44","2,658.29","2,669.67","2,571.93","-","-0.96%"
"Jan 22, 2009","2,668.04","2,727.43","2,762.28","2,653.87","-","-0.98%"
"Jan 21, 2009","2,694.42","2,660.94","2,727.64","2,617.98","-","0.50%"
"Jan 20, 2009","2,680.95","2,717.35","2,770.90","2,670.15","-","-1.77%"
"Jan 19, 2009","2,729.20","2,788.47","2,815.46","2,687.32","-","-1.15%"
"Jan 16, 2009","2,760.90","2,779.56","2,829.56","2,755.55","-","0.68%"
"Jan 15, 2009","2,742.21","2,803.86","2,814.67","2,716.31","-","-1.94%"
"Jan 14, 2009","2,796.36","2,947.79","2,953.48","2,769.50","-","-4.63%"
"Jan 13, 2009","2,932.04","2,974.77","2,974.77","2,906.46","-","-1.75%"
"Jan 12, 2009","2,984.32","3,013.26","3,030.07","2,977.29","-","-1.34%"
"Jan 09, 2009","3,024.96","3,093.06","3,119.04","2,999.72","-","-1.97%"
"Jan 08, 2009","3,085.68","3,096.59","3,109.52","3,047.85","-","-1.17%"
"Jan 07, 2009","3,122.08","3,167.07","3,168.55","3,107.37","-","-1.77%"
"Jan 06, 2009","3,178.25","3,156.98","3,231.81","3,136.45","-","0.85%"
"Jan 05, 2009","3,151.49","3,168.05","3,183.65","3,129.59","-","0.22%"
"Jan 02, 2009","3,144.59","3,071.10","3,145.63","3,059.48","-","3.39%"
"Dec 30, 2008","3,041.60","3,006.20","3,041.73","3,006.20","-","2.24%"
"Dec 29, 2008","2,974.99","2,946.73","2,992.69","2,944.04","-","1.42%"
"Dec 22, 2008","2,933.36","2,967.91","2,972.62","2,893.20","-","-1.23%"
"Dec 19, 2008","2,969.83","2,985.12","3,025.87","2,938.49","-","-1.26%"
"Dec 18, 2008","3,007.58","2,990.95","3,025.49","2,981.92","-","1.02%"
"Dec 17, 2008","2,977.22","3,015.37","3,025.29","2,933.46","-","-0.46%"
"Dec 16, 2008","2,990.83","2,948.75","3,008.76","2,944.01","-","1.61%"
"Dec 15, 2008","2,943.35","2,983.55","3,018.28","2,926.05","-","-0.18%"
"Dec 12, 2008","2,948.76","2,946.66","2,971.32","2,859.06","-","-2.18%"
"Dec 11, 2008","3,014.41","3,029.81","3,049.19","2,978.27","-","-0.78%"
"Dec 10, 2008","3,038.24","3,041.78","3,059.90","2,999.05","-","0.54%"
"Dec 09, 2008","3,021.95","2,955.17","3,067.02","2,922.75","-","1.34%"
"Dec 08, 2008","2,981.96","2,876.36","3,019.80","2,876.36","-","7.63%"
"Dec 05, 2008","2,770.51","2,863.92","2,864.87","2,732.67","-","-4.00%"
"Dec 04, 2008","2,886.07","2,883.38","2,992.74","2,840.31","-","-0.07%"
"Dec 03, 2008","2,887.97","2,851.07","2,910.51","2,768.08","-","0.78%"
