Date,Price,Open,High,Low,Vol,Change %
12-Feb-15,"15,228.52","15,192.83","15,236.72","15,114.87",260.69M,0.51%
11-Feb-15,"15,151.50","15,092.88","15,170.56","15,080.74",223.44M,0.26%
10-Feb-15,"15,112.52","15,114.49","15,147.73","14,977.18",206.42M,0.08%
09-Feb-15,"15,100.70","15,084.93","15,168.05","15,056.60",207.88M,0.11%
06-Feb-15,"15,083.92","15,149.54","15,204.45","15,025.64",221.62M,-0.27%
05-Feb-15,"15,124.92","15,031.11","15,172.32","15,031.11",237.02M,0.86%
04-Feb-15,"14,995.65","15,027.51","15,056.35","14,939.17",259.14M,-0.45%
03-Feb-15,"15,062.88","14,955.79","15,154.92","14,955.79",316.77M,1.09%
02-Feb-15,"14,900.47","14,713.87","14,931.07","14,713.87",228.90M,1.55%
30-Jan-15,"14,673.48","14,581.24","14,812.52","14,514.60",324.26M,0.25%
29-Jan-15,"14,637.28","14,599.72","14,672.58","14,392.55",253.82M,0.24%
28-Jan-15,"14,602.88","14,849.26","14,852.68","14,599.65",239.06M,-1.56%
27-Jan-15,"14,833.88","14,773.46","14,838.84","14,656.27",223.93M,0.24%
26-Jan-15,"14,797.83","14,787.72","14,803.73","14,702.89",186.84M,0.13%
23-Jan-15,"14,779.35","14,775.05","14,853.30","14,741.63",226.37M,0.10%
22-Jan-15,"14,763.98","14,589.46","14,792.49","14,589.46",266.87M,1.40%
21-Jan-15,"14,560.42","14,315.58","14,624.24","14,266.24",300.49M,1.76%
20-Jan-15,"14,308.44","14,368.36","14,377.63","14,260.43",279.25M,-0.03%
19-Jan-15,"14,312.50","14,307.65","14,323.82","14,195.39",97.31M,0.02%
16-Jan-15,"14,309.41","14,043.83","14,330.80","14,043.83",303.92M,1.91%
15-Jan-15,"14,041.82","14,149.71","14,170.67","14,017.17",353.73M,-0.30%
14-Jan-15,"14,084.43","14,119.75","14,119.75","13,892.57",298.84M,-0.72%
13-Jan-15,"14,187.16","14,285.13","14,369.84","14,074.95",276.62M,-0.55%
12-Jan-15,"14,265.01","14,378.32","14,378.32","14,122.38",240.04M,-0.83%
09-Jan-15,"14,384.92","14,484.62","14,496.91","14,325.15",216.29M,-0.50%
08-Jan-15,"14,457.72","14,368.58","14,506.14","14,368.58",225.81M,1.21%
07-Jan-15,"14,285.00","14,324.37","14,427.44","14,265.71",234.52M,0.27%
06-Jan-15,"14,246.77","14,368.11","14,370.40","14,161.98",273.37M,-1.01%
05-Jan-15,"14,392.70","14,709.02","14,709.02","14,339.50",224.21M,-2.45%
02-Jan-15,"14,753.65","14,637.34","14,756.30","14,631.35",132.97M,0.83%
31-Dec-14,"14,632.44","14,632.40","14,670.21","14,555.71",106.69M,-0.05%
30-Dec-14,"14,640.04","14,663.24","14,681.05","14,601.79",123.98M,-0.16%
29-Dec-14,"14,663.92","14,634.33","14,738.57","14,628.89",122.92M,0.37%
24-Dec-14,"14,609.25","14,595.35","14,645.07","14,516.23",72.37M,0.10%
23-Dec-14,"14,594.03","14,471.02","14,597.59","14,471.02",164.41M,1.12%
22-Dec-14,"14,432.38","14,494.62","14,547.02","14,395.44",210.37M,-0.25%
19-Dec-14,"14,468.26","14,389.96","14,530.47","14,348.65",795.34M,0.85%
18-Dec-14,"14,346.75","14,356.09","14,439.06","14,193.22",333.42M,0.93%
17-Dec-14,"14,213.88","13,880.22","14,226.97","13,831.80",373.36M,2.54%
16-Dec-14,"13,861.52","13,677.33","14,056.85","13,670.78",425.34M,1.14%
