Date,Price,Open,High,Low,Volume,Change,Country
2012-06-22,5146.05,5101.75,5159.8,5094.0,159.75,-0.37,India
2012-06-21,5165.0,5097.35,5170.4,5093.45,142.99,0.87,India
2012-06-20,5120.55,5114.55,5141.7,5100.7,160.51,0.33,India
2012-06-19,5103.85,5050.8,5113.6,5048.1,149.42,0.78,India
2012-06-18,5064.25,5174.0,5190.2,5041.7,153.46,-1.46,India
2012-06-15,5139.05,5069.55,5146.2,5069.15,155.44,1.67,India
2012-06-14,5054.75,5105.1,5130.0,5047.6,118.35,-1.3,India
2012-06-13,5121.45,5117.55,5144.9,5095.45,125.67,0.11,India
2012-06-12,5115.9,5015.5,5128.9,5015.15,135.48,1.22,India
2012-06-11,5054.1,5096.7,5124.45,5040.7,125.62,-0.28,India
2012-06-08,5068.35,5044.25,5084.45,4994.8,138.39,0.37,India
2012-06-07,5049.65,5035.35,5059.65,5007.75,150.56,1.05,India
2012-06-06,4997.1,4886.65,5010.45,4886.15,185.34,2.75,India
2012-06-05,4863.3,4869.45,4898.95,4847.7,141.48,0.31,India
2012-06-04,4848.15,4797.3,4858.3,4770.35,152.34,0.14,India
2012-06-01,4841.6,4910.85,4925.0,4831.75,138.77,-1.68,India
2012-05-31,4924.25,4896.1,4949.25,4883.55,296.91,-0.54,India
2012-05-30,4950.75,4964.25,4982.25,4944.9,146.0,-0.79,India
2012-05-29,4990.1,5005.35,5020.15,4982.15,124.22,0.09,India
2012-05-28,4985.65,4931.7,4994.95,4931.3,97.26,1.33,India
2012-05-25,4920.4,4905.95,4935.8,4889.35,118.19,-0.02,India
2012-05-24,4921.4,4863.4,4931.9,4830.15,140.48,1.77,India
2012-05-23,4835.65,4843.0,4853.75,4803.95,136.11,-0.51,India
2012-05-22,4860.5,4954.7,4956.35,4849.9,130.81,-0.93,India
2012-05-21,4906.05,4888.5,4937.5,4888.5,116.51,0.3,India
2012-05-18,4891.45,4796.4,4908.5,4788.95,154.51,0.44,India
2012-05-17,4870.2,4878.6,4922.25,4850.2,155.65,0.25,India
2012-05-16,4858.25,4875.3,4882.25,4837.05,165.05,-1.71,India
2012-05-15,4942.8,4869.85,4955.2,4868.55,142.12,0.71,India
2012-05-14,4907.8,4934.35,4957.2,4874.5,126.95,-0.43,India
2012-05-11,4928.9,4938.85,4976.25,4906.15,138.53,-0.74,India
2012-05-10,4965.7,4984.15,5039.3,4950.3,141.03,-0.18,India
2012-05-09,4974.8,4967.9,5016.25,4956.45,180.44,-0.5,India
2012-05-08,4999.95,5114.7,5119.95,4983.6,164.26,-2.23,India
2012-05-07,5114.15,5017.8,5124.75,4988.0,168.27,0.54,India
2012-05-04,5086.85,5166.65,5177.2,5070.6,153.3,-1.96,India
2012-05-03,5188.4,5211.2,5217.3,5180.65,118.57,-0.97,India
2012-05-02,5239.15,5254.3,5279.6,5226.45,119.33,-0.17,India
