"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 14, 2020","5,079.12","5,064.45","5,079.12","5,053.72","7.15B","0.29%"
"Jul 13, 2020","5,064.45","5,031.26","5,075.10","5,024.93","6.53B","0.66%"
"Jul 10, 2020","5,031.26","5,052.79","5,076.52","5,022.17","6.77B","-0.43%"
"Jul 09, 2020","5,052.79","5,076.17","5,111.56","5,041.93","7.98B","-0.46%"
"Jul 08, 2020","5,076.17","4,987.08","5,080.25","4,985.02","7.35B","1.79%"
"Jul 07, 2020","4,987.08","4,988.87","5,011.71","4,982.33","7.28B","-0.04%"
"Jul 06, 2020","4,988.87","4,973.79","5,009.35","4,973.49","6.43B","0.30%"
"Jul 03, 2020","4,973.79","4,966.78","4,997.48","4,964.11","5.57B","0.14%"
"Jul 02, 2020","4,966.78","4,914.39","4,966.78","4,914.39","5.54B","1.07%"
"Jul 01, 2020","4,914.39","4,905.39","4,928.61","4,885.60","4.32B","0.18%"
"Jun 30, 2020","4,905.39","4,901.82","4,939.84","4,894.12","5.13B","0.07%"
"Jun 29, 2020","4,901.82","4,904.09","4,909.91","4,862.04","4.42B","-0.05%"
"Jun 26, 2020","4,904.09","4,896.73","4,941.14","4,882.14","4.43B","0.15%"
"Jun 25, 2020","4,896.73","4,964.73","4,964.73","4,883.71","5.07B","-1.37%"
"Jun 24, 2020","4,964.73","4,879.13","4,977.65","4,879.13","6.25B","1.75%"
"Jun 23, 2020","4,879.13","4,918.83","4,938.39","4,879.13","5.49B","-0.81%"
"Jun 22, 2020","4,918.83","4,942.27","4,957.67","4,904.77","4.79B","-0.47%"
"Jun 19, 2020","4,942.27","4,925.25","4,970.07","4,925.25","5.76B","0.35%"
"Jun 18, 2020","4,925.25","4,987.78","4,993.61","4,925.25","7.09B","-1.25%"
"Jun 17, 2020","4,987.78","4,986.46","5,018.98","4,968.93","6.84B","0.03%"
"Jun 16, 2020","4,986.46","4,816.34","4,989.53","4,816.34","7.58B","3.53%"
"Jun 15, 2020","4,816.34","4,880.36","4,918.06","4,809.62","6.41B","-1.31%"
"Jun 12, 2020","4,880.36","4,854.75","4,880.36","4,712.07","8.09B","0.53%"
