"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2020","10,244.40","10,119.00","10,272.40","10,072.65","892.10K","1.51%"
"Jun 18, 2020","10,091.65","9,863.25","10,111.20","9,845.05","622.90K","2.13%"
"Jun 17, 2020","9,881.15","9,876.70","10,003.60","9,833.80","685.42K","-0.33%"
"Jun 16, 2020","9,914.00","10,014.80","10,046.15","9,728.50","899.90K","1.02%"
"Jun 15, 2020","9,813.70","9,919.35","9,943.35","9,726.35","716.05K","-1.60%"
"Jun 12, 2020","9,972.90","9,544.95","9,996.05","9,544.35","796.31K","0.72%"
"Jun 11, 2020","9,902.00","10,094.10","10,112.05","9,885.05","715.45K","-2.12%"
"Jun 10, 2020","10,116.15","10,072.60","10,148.75","10,036.85","632.38K","0.69%"
"Jun 09, 2020","10,046.65","10,181.15","10,291.15","10,021.45","754.22K","-1.19%"
"Jun 08, 2020","10,167.45","10,326.75","10,328.50","10,120.25","936.49K","0.25%"
"Jun 05, 2020","10,142.15","10,093.80","10,177.80","10,040.75","987.12K","1.13%"
"Jun 04, 2020","10,029.10","10,054.25","10,123.85","9,944.25","775.11K","-0.32%"
"Jun 03, 2020","10,061.55","10,108.30","10,176.20","10,035.55","794.66K","0.83%"
"Jun 02, 2020","9,979.10","9,880.85","9,995.60","9,824.05","770.19K","1.56%"
"Jun 01, 2020","9,826.15","9,726.85","9,931.60","9,706.95","794.18K","2.57%"
"May 29, 2020","9,580.30","9,422.20","9,598.85","9,376.90","967.01K","0.95%"
"May 28, 2020","9,490.10","9,364.95","9,511.25","9,336.50","837.91K","1.88%"
"May 27, 2020","9,314.95","9,082.20","9,334.00","9,004.25","763.49K","3.17%"
"May 26, 2020","9,029.05","9,099.75","9,161.65","8,996.65","654.96K","-0.11%"
"May 22, 2020","9,039.25","9,067.90","9,149.60","8,968.55","675.76K","-0.74%"
"May 21, 2020","9,106.25","9,079.45","9,178.55","9,056.10","631.54K","0.44%"
"May 20, 2020","9,066.55","8,889.15","9,093.80","8,875.35","622.31K","2.11%"
