"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 17, 2020","52,357.57","52,049.98","52,455.01","51,948.79","104.92M","0.59%"
"Feb 14, 2020","52,049.98","52,055.56","52,219.34","51,786.38","128.03M","-0.01%"
"Feb 13, 2020","52,055.56","52,000.03","52,442.16","51,800.30","137.83M","0.11%"
"Feb 12, 2020","52,000.03","51,201.08","52,215.12","51,113.88","156.42M","1.56%"
"Feb 11, 2020","51,201.08","51,007.05","51,527.09","50,950.19","108.36M","0.38%"
"Feb 10, 2020","51,007.05","51,396.07","51,396.07","50,936.50","105.78M","-0.76%"
"Feb 07, 2020","51,396.07","51,612.07","51,762.17","51,156.47","136.44M","-0.42%"
"Feb 06, 2020","51,612.07","51,484.33","51,914.74","51,484.33","122.16M","0.25%"
"Feb 05, 2020","51,484.33","50,892.53","51,605.43","50,859.17","117.27M","1.16%"
"Feb 04, 2020","50,892.53","49,903.25","50,990.66","49,903.25","138.89M","1.98%"
"Feb 03, 2020","49,903.25","50,072.61","50,226.04","49,839.18","95.70M","-0.34%"
"Jan 31, 2020","50,072.61","50,552.71","50,552.71","49,917.91","156.03M","-0.95%"
"Jan 30, 2020","50,552.71","50,343.61","50,574.07","49,629.63","102.78M","0.42%"
"Jan 29, 2020","50,343.61","49,800.27","50,650.70","49,783.33","99.52M","1.09%"
"Jan 28, 2020","49,800.27","49,949.24","50,147.95","49,587.50","118.57M","-0.30%"
"Jan 27, 2020","49,949.24","51,212.26","51,212.26","49,799.85","122.59M","-2.47%"
"Jan 24, 2020","51,212.26","50,847.58","51,313.69","50,847.58","85.06M","0.72%"
"Jan 23, 2020","50,847.58","51,808.62","51,811.35","50,779.49","100.98M","-1.85%"
"Jan 22, 2020","51,808.62","51,835.36","52,258.62","51,773.17","127.96M","-0.05%"
"Jan 21, 2020","51,835.36","52,638.53","52,638.53","51,470.00","136.34M","-1.53%"
"Jan 20, 2020","52,638.53","52,735.75","52,834.69","52,592.29","94.06M","-0.18%"
"Jan 17, 2020","52,735.75","51,965.24","52,842.39","51,955.98","146.06M","1.48%"
"Jan 16, 2020","51,965.24","51,835.06","52,093.00","51,672.04","130.90M","0.25%"
"Jan 15, 2020","51,835.06","51,725.89","52,021.50","51,460.48","112.27M","0.21%"
"Jan 14, 2020","51,725.89","51,343.39","51,725.89","51,324.88","136.47M","0.74%"
"Jan 13, 2020","51,343.39","51,245.43","51,582.32","51,147.11","106.77M","0.19%"
"Jan 10, 2020","51,245.43","50,916.06","51,292.44","50,892.54","84.49M","0.65%"
"Jan 09, 2020","50,916.06","51,090.54","51,522.60","50,807.76","95.09M","-0.34%"
"Jan 08, 2020","51,090.54","51,154.44","51,270.27","50,835.47","91.56M","-0.12%"
"Jan 07, 2020","51,154.44","50,999.61","51,340.35","50,749.86","84.95M","0.30%"
"Jan 06, 2020","50,999.61","51,536.50","51,625.25","50,795.20","80.09M","-1.04%"
"Jan 03, 2020","51,536.50","51,438.04","51,633.77","51,149.17","99.15M","0.19%"
"Jan 02, 2020","51,438.04","50,816.05","51,682.95","50,807.33","55.95M","1.22%"
